net,length_um
net448,690.255µm
clknet_0_clk,592.97µm
net534,574.48µm
net153,533.88µm
net719,515.02µm
net543,510.32µm
net482,492.14µm
net635,485.895µm
net559,481.39µm
net551,472.43µm
net491,470.87µm
net147,451.66µm
_00436_,447.7µm
net441,446.41µm
net261,445.62µm
net460,436.62µm
net146,436.32µm
net563,431.34µm
net626,423.75µm
_00342_,412.22µm
net473,407.09µm
net265,396.34µm
_01355_,394.09µm
net456,393.32µm
net452,388.49µm
net525,386.4µm
net432,382.65µm
net562,379.415µm
net469,373.85µm
net532,373.815µm
net263,373.32µm
net262,360.61µm
net641,360.53µm
net528,355.65µm
net587,354.38µm
net533,349.675µm
net564,347.94µm
net137,342.48µm
net617,339.7µm
_06762_,333.54µm
net552,331.42µm
_01376_,330.35µm
net542,329.755µm
clk,329.56µm
net555,325.2µm
net560,323.87µm
net636,323.12µm
net601,320.76µm
net259,317.38µm
net566,317.09µm
net499,316.91µm
net653,315.91µm
net715,314.6µm
clknet_3_5__leaf_clk,313.53µm
net440,307.93µm
net1027,307.075µm
net550,302.34µm
net751,298.06µm
net522,297.275µm
net558,296.65µm
net486,295.81µm
_00259_,295.46µm
net119,295.26µm
net141,289.76µm
net576,288.82µm
net567,288.62µm
net718,285.25µm
net546,283.7µm
net597,283.45µm
net521,282.4µm
net940,281.78µm
net657,281.24µm
net1,280.9µm
net541,280.775µm
net513,279.85µm
net612,275.45µm
net427,273.59µm
net650,272.6µm
net506,271.86µm
net531,271.82µm
net31,269.34µm
net652,268.36µm
net502,265.3µm
net420,264.57µm
net70,264.07µm
net4,262.2µm
net461,261.89µm
net72,261.81µm
net606,259.515µm
clknet_3_0__leaf_clk,258.94µm
net457,255.76µm
net554,255.35µm
net523,254.18µm
net472,253.83µm
net453,253.79µm
net592,253.46µm
net535,253.45µm
net257,252.24µm
net149,251.74µm
net599,251.665µm
net466,250.8µm
net411,250.79µm
net598,249.625µm
net416,247.9µm
net639,247.21µm
net638,246.8µm
net435,245.24µm
net338,243.37µm
net607,242.03µm
_00108_,241.83µm
net615,240.74µm
net593,240.41µm
net516,240.03µm
net449,239.7µm
net510,238.44µm
net102,238.17µm
net264,237.025µm
net600,236.925µm
net509,235.74µm
net485,235.06µm
net489,234.24µm
net443,233.63µm
net476,233.175µm
net548,232.92µm
net714,232.23µm
net494,232.005µm
net320,231.955µm
net6,231.74µm
net160,231.72µm
clknet_3_1__leaf_clk,231.18µm
net439,230.88µm
net266,230.11µm
net478,228.73µm
net547,228.46µm
net104,228.08µm
net117,227.76µm
net445,227.6µm
net520,227.19µm
