Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_821,VGND,li1,383.8700,386.2400,0.000187
FILLER_138_813,VGND,li1,381.3400,386.2400,0.000187
FILLER_138_809,VGND,li1,378.3500,386.2400,0.000187
FILLER_138_797,VGND,li1,374.9000,386.2400,0.000187
FILLER_138_785,VGND,li1,369.3800,386.2400,0.000187
FILLER_138_781,VGND,li1,365.4700,386.2400,0.000187
FILLER_138_769,VGND,li1,362.0200,386.2400,0.000187
FILLER_138_757,VGND,li1,356.5000,386.2400,0.000187
FILLER_138_751,VGND,li1,351.2100,386.2400,0.000187
FILLER_138_747,VGND,li1,350.0600,386.2400,0.000185
FILLER_138_735,VGND,li1,346.3800,386.2400,0.000183
FILLER_138_729,VGND,li1,341.3200,386.2400,0.000178
FILLER_138_727,VGND,li1,340.1700,386.2400,0.000178
FILLER_138_713,VGND,li1,334.4200,386.2400,0.000170
FILLER_138_706,VGND,li1,331.2000,386.2400,0.000203
FILLER_138_701,VGND,li1,328.4400,386.2400,0.000238
FILLER_138_699,VGND,li1,327.2900,386.2400,0.000238
FILLER_138_694,VGND,li1,325.2200,386.2400,0.000264
FILLER_138_671,VGND,li1,314.4100,386.2400,0.000418
FILLER_138_665,VGND,li1,312.8000,386.2400,0.000418
FILLER_138_657,VGND,li1,308.6600,386.2400,0.000484
FILLER_138_650,VGND,li1,305.4400,386.2400,0.000520
FILLER_138_645,VGND,li1,302.6800,386.2400,0.000546
FILLER_138_643,VGND,li1,301.5300,386.2400,0.000546
FILLER_138_636,VGND,li1,299.0000,386.2400,0.000569
FILLER_138_630,VGND,li1,296.0100,386.2400,0.000597
FILLER_138_623,VGND,li1,292.7900,386.2400,0.000630
FILLER_138_617,VGND,li1,289.8000,386.2400,0.000644
FILLER_138_615,VGND,li1,288.6500,386.2400,0.000644
FILLER_138_609,VGND,li1,286.3500,386.2400,0.000656
FILLER_138_602,VGND,li1,283.1300,386.2400,0.000680
FILLER_138_594,VGND,li1,279.6800,386.2400,0.000689
FILLER_138_589,VGND,li1,276.9200,386.2400,0.000701
FILLER_138_587,VGND,li1,275.7700,386.2400,0.000704
FILLER_138_581,VGND,li1,273.4700,386.2400,0.000707
FILLER_138_574,VGND,li1,270.2500,386.2400,0.000711
FILLER_138_569,VGND,li1,267.4900,386.2400,0.000715
FILLER_138_561,VGND,li1,264.0400,386.2400,0.000721
FILLER_138_559,VGND,li1,262.8900,386.2400,0.000723
FILLER_138_553,VGND,li1,260.5900,386.2400,0.000725
FILLER_138_531,VGND,li1,250.0100,386.2400,0.000736
FILLER_138_525,VGND,li1,248.4000,386.2400,0.000738
FILLER_138_519,VGND,li1,244.7200,386.2400,0.000741
FILLER_138_484,VGND,li1,228.6200,386.2400,0.000741
FILLER_138_468,VGND,li1,221.4900,386.2400,0.000735
FILLER_138_462,VGND,li1,218.7300,386.2400,0.000733
FILLER_138_454,VGND,li1,215.2800,386.2400,0.000731
FILLER_138_449,VGND,li1,212.5200,386.2400,0.000729
FILLER_138_441,VGND,li1,209.0700,386.2400,0.000724
FILLER_138_433,VGND,li1,205.6200,386.2400,0.000721
FILLER_138_426,VGND,li1,202.4000,386.2400,0.000716
FILLER_138_421,VGND,li1,199.6400,386.2400,0.000711
FILLER_138_415,VGND,li1,196.6500,386.2400,0.000652
FILLER_138_405,VGND,li1,192.2800,386.2400,0.000603
FILLER_138_393,VGND,li1,189.0600,386.2400,0.000532
FILLER_138_390,VGND,li1,185.3800,386.2400,0.000497
FILLER_138_382,VGND,li1,183.0800,386.2400,0.000462
FILLER_138_370,VGND,li1,178.4800,386.2400,0.000390
FILLER_138_365,VGND,li1,173.8800,386.2400,0.000531
FILLER_138_362,VGND,li1,172.5000,386.2400,0.000531
FILLER_138_349,VGND,li1,167.4400,386.2400,0.000671
FILLER_138_337,VGND,li1,163.3000,386.2400,0.000773
FILLER_138_335,VGND,li1,159.8500,386.2400,0.000864
FILLER_138_329,VGND,li1,158.2400,386.2400,0.000864
FILLER_138_322,VGND,li1,154.3300,386.2400,0.000991
FILLER_138_315,VGND,li1,151.1100,386.2400,0.001031
FILLER_138_309,VGND,li1,148.1200,386.2400,0.001084
FILLER_138_301,VGND,li1,144.6700,386.2400,0.001152
FILLER_138_294,VGND,li1,141.4500,386.2400,0.001206
FILLER_138_287,VGND,li1,138.2300,386.2400,0.001242
FILLER_138_281,VGND,li1,135.2400,386.2400,0.001253
FILLER_138_277,VGND,li1,133.6300,386.2400,0.001253
FILLER_138_265,VGND,li1,130.1800,386.2400,0.001260
FILLER_138_253,VGND,li1,124.6600,386.2400,0.001225
FILLER_138_249,VGND,li1,120.7500,386.2400,0.001178
FILLER_138_237,VGND,li1,117.3000,386.2400,0.001130
FILLER_138_225,VGND,li1,111.7800,386.2400,0.001085
FILLER_138_216,VGND,li1,106.7200,386.2400,0.001031
FILLER_138_209,VGND,li1,102.5800,386.2400,0.000973
FILLER_138_197,VGND,li1,98.9000,386.2400,0.000944
FILLER_138_193,VGND,li1,94.9900,386.2400,0.000893
FILLER_138_181,VGND,li1,91.5400,386.2400,0.000859
FILLER_138_169,VGND,li1,86.0200,386.2400,0.000789
FILLER_138_165,VGND,li1,82.1100,386.2400,0.000742
FILLER_138_153,VGND,li1,78.6600,386.2400,0.000716
FILLER_138_141,VGND,li1,73.1400,386.2400,0.000654
FILLER_138_137,VGND,li1,69.2300,386.2400,0.000610
FILLER_138_125,VGND,li1,65.7800,386.2400,0.000571
FILLER_138_113,VGND,li1,60.2600,386.2400,0.000509
FILLER_138_109,VGND,li1,56.3500,386.2400,0.000452
