Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_138_821,VPWR,li1,383.8700,388.9600,1.799918
FILLER_138_813,VPWR,li1,381.3400,388.9600,1.799918
FILLER_138_809,VPWR,li1,378.3500,388.9600,1.799918
FILLER_138_797,VPWR,li1,374.9000,388.9600,1.799918
FILLER_138_785,VPWR,li1,369.3800,388.9600,1.799918
FILLER_138_781,VPWR,li1,365.4700,388.9600,1.799918
FILLER_138_769,VPWR,li1,362.0200,388.9600,1.799918
FILLER_138_757,VPWR,li1,356.5000,388.9600,1.799918
FILLER_138_751,VPWR,li1,351.2100,388.9600,1.799919
FILLER_138_747,VPWR,li1,350.0600,388.9600,1.799919
FILLER_138_735,VPWR,li1,346.3800,388.9600,1.799922
FILLER_138_729,VPWR,li1,341.3200,388.9600,1.799928
FILLER_138_727,VPWR,li1,340.1700,388.9600,1.799928
FILLER_138_713,VPWR,li1,334.4200,388.9600,1.799936
FILLER_138_706,VPWR,li1,331.2000,388.9600,1.799940
FILLER_138_701,VPWR,li1,328.4400,388.9600,1.799936
FILLER_138_699,VPWR,li1,327.2900,388.9600,1.799936
FILLER_138_694,VPWR,li1,325.2200,388.9600,1.799927
FILLER_138_671,VPWR,li1,314.4100,388.9600,1.799888
FILLER_138_665,VPWR,li1,312.8000,388.9600,1.799888
FILLER_138_657,VPWR,li1,308.6600,388.9600,1.799875
FILLER_138_650,VPWR,li1,305.4400,388.9600,1.799868
FILLER_138_645,VPWR,li1,302.6800,388.9600,1.799864
FILLER_138_643,VPWR,li1,301.5300,388.9600,1.799864
FILLER_138_636,VPWR,li1,299.0000,388.9600,1.799859
FILLER_138_630,VPWR,li1,296.0100,388.9600,1.799853
FILLER_138_623,VPWR,li1,292.7900,388.9600,1.799847
FILLER_138_617,VPWR,li1,289.8000,388.9600,1.799843
FILLER_138_615,VPWR,li1,288.6500,388.9600,1.799841
FILLER_138_609,VPWR,li1,286.3500,388.9600,1.799837
FILLER_138_602,VPWR,li1,283.1300,388.9600,1.799834
FILLER_138_594,VPWR,li1,279.6800,388.9600,1.799833
FILLER_138_589,VPWR,li1,276.9200,388.9600,1.799832
FILLER_138_587,VPWR,li1,275.7700,388.9600,1.799831
FILLER_138_581,VPWR,li1,273.4700,388.9600,1.799830
FILLER_138_574,VPWR,li1,270.2500,388.9600,1.799830
FILLER_138_569,VPWR,li1,267.4900,388.9600,1.799829
FILLER_138_561,VPWR,li1,264.0400,388.9600,1.799829
FILLER_138_559,VPWR,li1,262.8900,388.9600,1.799829
FILLER_138_553,VPWR,li1,260.5900,388.9600,1.799828
FILLER_138_531,VPWR,li1,250.0100,388.9600,1.799829
FILLER_138_525,VPWR,li1,248.4000,388.9600,1.799829
FILLER_138_519,VPWR,li1,244.7200,388.9600,1.799830
FILLER_138_484,VPWR,li1,228.6200,388.9600,1.799842
FILLER_138_468,VPWR,li1,221.4900,388.9600,1.799853
FILLER_138_462,VPWR,li1,218.7300,388.9600,1.799857
FILLER_138_454,VPWR,li1,215.2800,388.9600,1.799859
FILLER_138_449,VPWR,li1,212.5200,388.9600,1.799863
FILLER_138_441,VPWR,li1,209.0700,388.9600,1.799870
FILLER_138_433,VPWR,li1,205.6200,388.9600,1.799874
FILLER_138_426,VPWR,li1,202.4000,388.9600,1.799881
FILLER_138_421,VPWR,li1,199.6400,388.9600,1.799887
FILLER_138_415,VPWR,li1,196.6500,388.9600,1.799896
FILLER_138_405,VPWR,li1,192.2800,388.9600,1.799903
FILLER_138_393,VPWR,li1,189.0600,388.9600,1.799911
FILLER_138_390,VPWR,li1,185.3800,388.9600,1.799920
FILLER_138_382,VPWR,li1,183.0800,388.9600,1.799926
FILLER_138_370,VPWR,li1,178.4800,388.9600,1.799937
FILLER_138_365,VPWR,li1,173.8800,388.9600,1.799937
FILLER_138_362,VPWR,li1,172.5000,388.9600,1.799937
FILLER_138_349,VPWR,li1,167.4400,388.9600,1.799921
FILLER_138_337,VPWR,li1,163.3000,388.9600,1.799909
FILLER_138_335,VPWR,li1,159.8500,388.9600,1.799893
FILLER_138_329,VPWR,li1,158.2400,388.9600,1.799893
FILLER_138_322,VPWR,li1,154.3300,388.9600,1.799881
FILLER_138_315,VPWR,li1,151.1100,388.9600,1.799874
FILLER_138_309,VPWR,li1,148.1200,388.9600,1.799869
FILLER_138_301,VPWR,li1,144.6700,388.9600,1.799866
FILLER_138_294,VPWR,li1,141.4500,388.9600,1.799865
FILLER_138_287,VPWR,li1,138.2300,388.9600,1.799866
FILLER_138_281,VPWR,li1,135.2400,388.9600,1.799869
FILLER_138_277,VPWR,li1,133.6300,388.9600,1.799869
